Title,Date,Rating,Genre,Director,IMDB
Barry Lyndon,1/1/2018,5,Drama,Stanley Kubrick,http://www.imdb.com/title/tt0072684/
Dances With Wolves,1/1/2018,3,Adventure,Kevin Costner,http://www.imdb.com/title/tt0099348/
Made in Dagenham,1/3/2018,3,Biography,Nigel Cole,http://www.imdb.com/title/tt1371155/
Conan the Barbarian,1/4/2018,2,Action,Marcus Nispel,http://www.imdb.com/title/tt0816462/
Victor Frankenstein,1/5/2018,3,Drama,Paul McGuigan,http://www.imdb.com/title/tt1976009/
The End of the F***ing World,1/10/2018,5,Drama,Jonathan Entwistle,http://www.imdb.com/title/tt6257970/
The Polka King,1/14/2018,1,Biography,"Maya Forbes, Wallace Wolodarsky",http://www.imdb.com/title/tt5539052/
The Marvelous Mrs. Maisel,1/18/2018,4,Comedy,Amy Sherman-Palladino,http://www.imdb.com/title/tt5788792/
Lawless,1/19/2018,3,Crime,John Hillcoat,http://www.imdb.com/title/tt1212450/
Treasures from the Wreck of the Unbelievable,1/20/2018,3,Documentary,Sam Hobkinson,http://www.imdb.com/title/tt6980988/
Sleepless,1/21/2018,2,Action,Baran bo Odar,http://www.imdb.com/title/tt2072233/
The Brothers Grimsby,1/14/2018,2,Comedy,Louis Leterrier,http://www.imdb.com/title/tt3381008/
808,1/25/2018,3,Documentary,Alexander Dunn,http://www.imdb.com/title/tt2268622/
I'm Now: The Story of Mudhoney,1/26/2018,3,Documentary,"Adam Pease, Ryan Short",http://www.imdb.com/title/tt2492562/
Trentemøller: The Science of Fixion,1/26/2018,3,Documentary,"Thomas Jessen, Julie Runa and Kristian Pedersen",
A Futile and Stupid Gesture,1/27/2018,3,Biography,David Wain,http://www.imdb.com/title/tt5566790/
"If It Ain't Stiff, It Ain't Worth a Fuck",1/31/2018,3,Documentary,Nick Abson,http://www.imdb.com/title/tt7380772/
8 Mile,2/1/2018,3,Drama,Curtis Hanson,http://www.imdb.com/title/tt0298203/
Colossal,2/2/2018,3,Action,Nacho Vigalondo,http://www.imdb.com/title/tt4680182/
The Big Sick,2/2/2018,3,Comedy,Michael Showalter,http://www.imdb.com/title/tt5462602/
Becoming Bond,2/4/2018,3,Documentary,Josh Greenbaum,http://www.imdb.com/title/tt6110504/
Cardboard Gangsters,2/5/2018,1,Crime,Mark O'Connor,http://www.imdb.com/title/tt5156274/
Surviving Indie,2/7/2018,3,Documentary,Richard James Cook,http://www.imdb.com/title/tt5869644/
Joy,2/8/2018,3,Drama,David O. Russell,http://www.imdb.com/title/tt2446980/
Lo Sound Desert,2/8/2018,3,Documentary,Joerg Steineck,http://www.imdb.com/title/tt4150988/
"Mad Marc Rude: Blood, Ink & Needles",2/9/2018,3,Documentary,Carl Schneider,http://www.imdb.com/title/tt3833720/
21 Years: Richard Linklater,2/9/2018,3,Documentary,"Michael Dunaway, Tara Wood",http://www.imdb.com/title/tt3657420/
Funny People,2/10/2018,2,Comedy,Judd Apatow,http://www.imdb.com/title/tt1201167/
Metallica: Some Kind of Monster,2/16/2018,3,Documentary,"Joe Berlinger, Bruce Sinofsky",http://www.imdb.com/title/tt0387412/
The Revenant,2/22/2018,4,Drama,"Alejandro G. Iñárritu",http://www.imdb.com/title/tt1663202/
Borg McEnroe,2/23/2018,3,Biography,Janus Metz,http://www.imdb.com/title/tt5727282/
Tigerland,2/23/2018,3,Drama,Joel Schumacher,http://www.imdb.com/title/tt0170691/
"Summer '82: When Zappa Came to Sicily",2/24/2018,3,Documentary,Salvo Cuccia,http://www.imdb.com/title/tt3124986/
Mute,2/25/2018,3,Sci-Fi,Duncan Jones,http://www.imdb.com/title/tt1464763/
Last Knights,2/29/2018,2,Action,Kazuaki Kiriya,http://www.imdb.com/title/tt2493486/
Deadpool,3/4/2018,4,Action,Tim Miller,http://www.imdb.com/title/tt1431045/
David Brent: Life on the Road,3/5/2018,2,Comedy,Ricky Gervais,http://www.imdb.com/title/tt3137630/
