Title,Date,Rating,Genre,Director,IMDB
"Dio: Dreamers Never Die",1/1/2023,3,Documentary,"Don Argott,Demian Fenton",https://www.imdb.com/title/tt11851698/
"Orgasm Inc: The Story of OneTaste",1/1/2023,2,Documentary,"Sarah Gibson,Sloane Klevin",https://www.imdb.com/title/tt22900124/
Treason,1/2/2023,2,Action,Matt Charman,https://www.imdb.com/title/tt16450274/
White Noise,1/2/2023,3,Comedy,Noah Baumbach,https://www.imdb.com/title/tt16450274/
The Swimmers,1/5/2023,4,Biography,Sally El Hosaini,https://www.imdb.com/title/tt8745676/
Athena,1/6/2023,4,Drama,Romain Gavras,https://www.imdb.com/title/tt15445056/
"Good Luck to You, Leo Grande",1/7/2023,3,Drama,Sophie Hyde,https://www.imdb.com/title/tt13352968/
CODA,1/8/2023,4,Drama,Sian Heder,https://www.imdb.com/title/tt10366460/
Emancipation,1/16/2023,2,Action,Antoine Fuqua,https://www.imdb.com/title/tt12530246/
Hunters,1/18/2023,3,Action,David Weil,https://www.imdb.com/title/tt7456722/
Bank of Dave,1/18/2023,3,Biography,Chris Foggin,https://www.imdb.com/title/tt14308636/
Ali,1/20/2023,3,Biography,Michael Mann,https://www.imdb.com/title/tt0248667/
The Take,1/21/2023,2,Action,James Watkins,https://www.imdb.com/title/tt2368619/
Jung_E,1/22/2023,3,Action,Sang-ho Yeon,https://www.imdb.com/title/tt22352848/
F@ck This Job,1/23/2023,3,Documentary,Vera Krichevskaya,https://www.imdb.com/title/tt14398794/
The Banker,1/28/2023,3,Biography,George Nolfi,https://www.imdb.com/title/tt6285944/ 
Free to Play,1/29/2023,2,Documentary,Valve,https://www.imdb.com/title/tt3203290/
You People,1/30/2023,2,Comedy,Kenya Barris,https://www.imdb.com/title/tt14826022/
The Name of the Game,2/5/2023,4,Documentary,"Jarno Elonen,Paul J. Vogel",https://www.imdb.com/title/tt5169938/
The Current War,2/7/2023,3,Biography,Alfonso Gomez-Rejon,https://www.imdb.com/title/tt2140507/
