Title,Date,Rating,Genre,Director,IMDB
General Magic,1/7/2022,4,Documentary,"Sarah Kerruish, Matt Maude",https://www.imdb.com/title/tt6849786/
Mother Android,1/7/2022,2,Drama,Mattson Tomlin,https://www.imdb.com/title/tt13029044/
The Gentlemen,1/9/2022,3,Crime,Guy Ritchie,https://www.imdb.com/title/tt8367814/
The Tender Bar,1/14/2022,3,Drama,George Clooney,https://www.imdb.com/title/tt3108894/
Takers,1/15/2022,2,Action,John Luessenhop,https://www.imdb.com/title/tt1135084/
Once Upon a Time in America,1/21/2022,5,Crime,Sergio Leone,https://www.imdb.com/title/tt0087843/
Copshop,1/29/2022,2,Action,Joe Carnahan,https://www.imdb.com/title/tt5748448/
The Contender,1/30/2022,3,Drama,Rod Lurie,https://www.imdb.com/title/tt0208874/
Black Hawk Down,2/4/2022,3,Action,Ridley Scott,https://www.imdb.com/title/tt0265086/
The Peacemaker,2/5/2022,3,Action,Mimi Leder,https://www.imdb.com/title/tt0119874/
Unicorn Store,2/12/2022,3,Comedy,Brie Larson,https://www.imdb.com/title/tt2338454/
Munich: The Edge of War,2/13/2022,3,Drama,Christian Schwochow,https://www.imdb.com/title/tt7475578/
Pirates,2/15/2022,1,Comedy,Reggie Yates,https://www.imdb.com/title/tt11918288/
The Invisible Man,2/27/2022,3,Drama,Leigh Whannell,https://www.imdb.com/title/tt1051906/
The Courier,3/3/2022,3,Drama,Dominic Cooke,https://www.imdb.com/title/tt8368512/
The Master,3/5/2022,4,Drama,Paul Thomas Anderson,https://www.imdb.com/title/tt1560747/
Parasite,3/5/2022,4,Comedy,Bong Joon Ho,https://www.imdb.com/title/tt6751668/
The Informer,3/10/2022,2,Action,Andrea Di Stefano,https://www.imdb.com/title/tt1833116/
The Postcard Killings,3/11/2022,2,Crime,Danis Tanovic,https://www.imdb.com/title/tt4106514/
The Andy Warhol Diaries,3/14/2022,4,Documentary,Andrew Rossi,https://www.imdb.com/title/tt18082212/
Slave to the Grind,3/23/2022,3,Documentary,Doug Robert Brown,https://www.imdb.com/title/tt7954282/
Boiling Point,3/29/2022,4,Drama,Philip Barantini,https://www.imdb.com/title/tt11127680/
Trust No One: The Hunt for the Crypto King,3/30/2022,2,Documentary,Luke Sewell,https://www.imdb.com/title/tt15479902/
The Bubble,4/1/2022,2,Comedy,Judd Apatow,https://www.imdb.com/title/tt13610562/
The Sparks Brothers,4/2/2022,4,Documentary,Edgar Wright,https://www.imdb.com/title/tt8610436/
The Scapegoat,4/3/2022,3,Drama,Charles Sturridge,https://www.imdb.com/title/tt2084977/
Windfall,4/4/2022,2,Thriller,Charlie McDowell,https://www.imdb.com/title/tt15033192/
Metal Lords,4/4/2022,3,Comedy,Peter Sollett,https://www.imdb.com/title/tt12141112/
The Tax Collector,4/9/2022,3,Action,David Ayer,https://www.imdb.com/title/tt8461224/
Who Killed the KLF?,4/10/2022,3,Documentary,Chris Atkins,https://www.imdb.com/title/tt15334664/
"Apollo 10 1/2: A Space Age Adventure",4/11/2022,4,Animation,Richard Linklater,https://www.imdb.com/title/tt7978758/
The King of Staten Island,4/18/2022,3,Drama,Judd Apatow,https://www.imdb.com/title/tt9686708/
Honey Boy,4/19/2022,4,Drama,"Alma Har'el",https://www.imdb.com/title/tt8151874/
"White Hot: The Rise & Fall of Abercrombie & Fitch",4/25/2022,1,Documentary,Alison Klayman,https://www.imdb.com/title/tt19034522/
The Public Image is Rotten,4/26/2022,4,Documentary,Tabbert Fiiller,https://www.imdb.com/title/tt6794466/
"I, Pastafari",4/30/2022,2,Documentary,Michael Arthur,https://www.imdb.com/title/tt11134554/
No Time to Die,4/30/2022,3,Action,Cary Joji Fukunaga,https://www.imdb.com/title/tt2382320/
Casino Royale,4/30/2022,4,Action,Martin Campbell,https://www.imdb.com/title/tt0381061/
Quantum of Solace,5/1/2022,3,Action,Marc Forster,https://www.imdb.com/title/tt0830515/
Spectre,5/1/2022,3,Action,Sam Mendes,https://www.imdb.com/title/tt2379713/
Skyfall,5/2/2022,3,Action,Sam Mendes,https://www.imdb.com/title/tt1074638/
Can't Stand Losing You,5/3/2022,3,Documentary,"Andy Grieve, Lauren Lazin", https://www.imdb.com/title/tt1610013/
Her Master's Voice,5/4/2022,3,Documentary,Nina Conti,https://www.imdb.com/title/tt2081260/
Paycheck,5/6/2022,2,Action,John Woo,https://www.imdb.com/title/tt0338337/
Knuckle,5/14/2022,3,Documentary,Ian Palmer,https://www.imdb.com/title/tt1606259/
Ali & Ava,5/27/2022,4,Drama,Clio Barnard,https://www.imdb.com/title/tt11559472/
Hustle,6/12/2022,3,Drama,Jeremiah Zagar,https://www.imdb.com/title/tt8009428/
King of Thieves,6/14/2022,2,Crime,James Marsh,https://www.imdb.com/title/tt5789976/
Cuban Fury,6/15/2022,3,Comedy,James Griffiths,https://www.imdb.com/title/tt2390237/
House of Gucci,6/23/2022,3,Drama,Ridley Scott,https://www.imdb.com/title/tt11214590/
"Can't Stop, Won't Stop: A Bad Boy Story",6/27/2022,2,Documentary,Daniel Kaufman,https://www.imdb.com/title/tt6628790/
Irresistible,7/1/2022,3,Comedy,Jon Stewart,https://www.imdb.com/title/tt9076562/
Dope,7/4/2022,3,Adventure,Rick Famuyiwa,https://www.imdb.com/title/tt3850214/
Girl in the Picture,7/11/2022,3,Documentary,Skye Borgman,https://www.imdb.com/title/tt21059520/
King of Stonks,7/12/2022,3,Comedy,Isabell Suba,https://www.imdb.com/title/tt15407486/
Love Sarah,7/12/2022,1,Drama,Eliza Schroeder,https://www.imdb.com/title/tt9448932/
The Midnight Sky,7/13/2022,2,Sci-Fi,George Clooney,https://www.imdb.com/title/tt10539608/
The Fighter,7/14/2022,3,Biography,David O. Russell,https://www.imdb.com/title/tt0964517/
The Rainmaker,7/14/2022,3,Drama,Francis Ford Coppola,https://www.imdb.com/title/tt0119978/
A Civil Action,7/14/2022,2,Drama,Steven Zaillian,https://www.imdb.com/title/tt0120633/
Roadrunner: A Film About Anthony Bourdain,7/15/2022,4,Documentary,Morgan Neville,https://www.imdb.com/title/tt14512538/
Warrior,7/15/2022,2,Action,Gavin O'Connor,https://www.imdb.com/title/tt1291584/
Spotlight,7/16/2022,3,Biography,Tom McCarthy,https://www.imdb.com/title/tt1895587/
Gangster Squad,7/16/2022,3,Crime,Ruben Fleischer,https://www.imdb.com/title/tt1321870/
Birds of Prey,7/21/2022,2,Action,Cathy Yan,https://www.imdb.com/title/tt7713068/
The Gray Man,7/24/2022,3,Action,"Anthony Russo,Joe Russo",https://www.imdb.com/title/tt1649418/
