Title,Date,Rating,Genre,Director,IMDB
The Guernsey Literary and Potato Peel Pie Society,1/1/2019,3,Drama,Mike Newell,https://www.imdb.com/title/tt1289403/
Joe Strummer: The Future Is Unwritten,1/5/2019,4,Documentary,Julien Temple,https://www.imdb.com/title/tt0800099/
Dealt,1/15/2019,4,Documentary,Luke Korem,https://www.imdb.com/title/tt3127902/
Fyre,1/18/2019,3,Documentary,Chris Smith,https://www.imdb.com/title/tt9412098/
Split,1/24/2019,3,Horror,M. Night Shyamalan,https://www.imdb.com/title/tt4972582/
Sully: Miracle on the Hudson,1/31/2019,3,Biography,Clint Eastwood,https://www.imdb.com/title/tt3263904/
Funny Cow,2/1/2019,3,Comedy,Adrian Shergold,https://www.imdb.com/title/tt3814808/
The Accountant,2/2/2019,3,Action,Gavin O'Connor,https://www.imdb.com/title/tt2140479/
Entebbe,2/2/2019,3,Action,José Padilha,https://www.imdb.com/title/tt5466186/
The Great Wall,2/2/2019,2,Action,Yimou Zhang,https://www.imdb.com/title/tt2034800/
"Frank Zappa - Freak Jazz, Movie Madness & Another Mothers",2/5/2019,3,Documentary,Tom O’Dell, 
Have You Seen the Listers?,2/7/2019,3,Documentary,Eddie Martin,https://www.imdb.com/title/tt7050140/
Close,2/8/2019,3,Action,Vicky Jewson,https://www.imdb.com/title/tt5316540/
Streetwise,2/8/2019,4,Documentary,Martin Bell,https://www.imdb.com/title/tt0088196/
Assassin's Creed,2/9/2019,3,Action,Justin Kurzel,https://www.imdb.com/title/tt2094766/
HR Finding Joseph I,2/11/2019,4,Documentary,James Lathos,https://www.imdb.com/title/tt6379596/
Cassette: A Documentary Mixtape,2/12/2019,2,Documentary,Zachary Taylor,https://www.imdb.com/title/tt4236310/
Blackhearts,2/13/2019,2,Documentary,"Fredrik Horn Akselsen, Christian Falch",https://www.imdb.com/title/tt4548864/
American Hardcore,2/13/2019,3,Documentary,Paul Rachman,https://www.imdb.com/title/tt0419434/
Alice Donut: Freaks in Love,2/15/2019,3,Documentary,"David Koslowski, Skizz Cyzyk",https://www.imdb.com/title/tt1745885/
Ideal Home,2/16/2019,1,Comedy,Andrew Fleming,https://www.imdb.com/title/tt5460880/
An Evening with Beverly Luff Linn,2/17/2019,2,Comedy,Jim Hosking,https://www.imdb.com/title/tt6518270/
American Assassin,2/17/2019,2,Action,Michael Cuesta,https://www.imdb.com/title/tt1961175/
Aftermath,2/21/2019,3,Drama,Elliott Lester,https://www.imdb.com/title/tt4581576/
Barry Lyndon,2/23/2019,5,Drama,Stanley Kubrick,https://www.imdb.com/title/tt0072684/
Blood Father,3/1/2019,2,Action,Jean-François Richet,https://www.imdb.com/title/tt3647498/
Independence Day: Resurgence,3/2/2019,2,Action,Roland Emmerich,https://www.imdb.com/title/tt1628841/
Eyes wide Shut,3/8/2019,3,Drama,Stanley Kubrick,https://www.imdb.com/title/tt0120663/
Bohemian Rhapsody,3/16/2019,3,Biography,Bryan Singer,https://www.imdb.com/title/tt1727824/
The Dirt,3/20/2019,3,Biography,Jeff Tremaine,https://www.imdb.com/title/tt0800325/
The Legend of Cocaine Island,3/20/2019,2,Documentary,Theo Love,https://www.imdb.com/title/tt8106596/
Gotti,3/29/2019,1,Biography,Kevin Connolly,https://www.imdb.com/title/tt1801552/
The Highwaymen,3/30/2019,3,Crime,John Lee Hancock,https://www.imdb.com/title/tt1860242/
L7: Pretend We're Dead,4/1/2019,3,Documentary,Sarah Price,https://www.imdb.com/title/tt6288290/
"The Rolling Stones Olé, Olé, Olé!: A Trip Across Latin America",4/2/2019,3,Documentary,Paul Dugdale,https://www.imdb.com/title/tt5914350/
John Wick: Chapter 2,4/4/2019,3,Action,Chad Stahelski,https://www.imdb.com/title/tt4425200/
Peppermint,4/5/2019,2,Action,Pierre Morel,https://www.imdb.com/title/tt6850820/
Life After Death from Above 1979,4/5/2019,3,Documentary,Eva Michon,https://www.imdb.com/title/tt3004624/
Trouble with the Curve,4/6/2019,2,Drama,Robert Lorenz,https://www.imdb.com/title/tt2083383/
Live by Night,4/7/2019,2,Action,Ben Affleck,https://www.imdb.com/title/tt2361317/
We Still Kill the Old Way,4/8/2019,2,Action,Sacha Bennett,https://www.imdb.com/title/tt3157224/
Disobedience,4/8/2019,3,Drama,Sebastián Lelio,https://www.imdb.com/title/tt6108178/
