Title,Date,Rating,Genre,Director,IMDB
Dredd,1/1/2021,3,Action,Pete Travis,https://www.imdb.com/title/tt1343727/
Savage,1/1/2021,3,Crime,Sam Kelly,https://www.imdb.com/title/tt9099800/
Rev,1/2/2021,1,Action,Ant Horasanli,https://www.imdb.com/title/tt11056594/
It All Begins with a Song,1/3/2021,3,Documentary,Chusy,https://www.imdb.com/title/tt11461118/
All This Mayhem,1/4/2021,4,Documentary,Eddie Martin,https://www.imdb.com/title/tt2938416/
"Easy Riders, Raging Bulls",1/4/2021,3,Documentary,Kenneth Bowser,https://www.imdb.com/title/tt0359203/
Blurred Lines: Inside the Art World,1/5/2021,3,Documentary,Barry Avrich,https://www.imdb.com/title/tt5602204/
Forgetting Sarah Marshall,1/6/2021,2,Comedy,Nicholas Stoller,https://www.imdb.com/title/tt0800039/
One Man and His Shoes,1/7/2021,2,Documentary,Yemi Bamiro,https://www.imdb.com/title/tt11532922/
Widows,1/9/2021,2,Crime,Steve McQueen,https://www.imdb.com/title/tt4218572/
The Godfather,1/10/2021,4,Crime,Francis Ford Coppola,https://www.imdb.com/title/tt0068646/
"Robin's Wish",1/10/2021,3,Documentary,Tylor Norwood,https://www.imdb.com/title/tt12763474/
"Three Billboards Outside Ebbing, Missouri",1/10/2021,5,Drama,Martin McDonagh,https://www.imdb.com/title/tt5027774/
We Own the Night,1/11/2021,2,Crime,James Gray,https://www.imdb.com/title/tt0498399/
Dead Pixels,1/12/2021,3,Comedy,Jon Brown,https://www.imdb.com/title/tt7559438/
Outside the Wire,1/16/2021,2,Action,Mikael Håfström,https://www.imdb.com/title/tt10451914/
SoulBoy,1/17/2021,3,Drama,Shimmy Marcus,https://www.imdb.com/title/tt1259227/
Les Misérables,1/20/2021,4,Drama,Ladj Ly,https://www.imdb.com/title/tt10199590/
Northern Soul,1/21/2021,3,Drama,Elaine Constantine,https://www.imdb.com/title/tt1837613/
True Story,1/22/2021,3,Biography,Rupert Goold,https://www.imdb.com/title/tt2273657/
The White Tiger,1/23/2021,3,Crime,Ramin Bahrani,https://www.imdb.com/title/tt6571548/
The Dig,1/29/2021,3,Biography,Simon Stone,https://www.imdb.com/title/tt3661210/
The Girl on the Train,1/30/2021,2,Crime,Tate Taylor,https://www.imdb.com/title/tt3631112/
Sputnik,1/31/2021,3,Sci-Fi,Egor Abramenko,https://www.imdb.com/title/tt11905962/
Bajocero,1/31/2021,2,Action,Lluís Quílez,https://www.imdb.com/title/tt9845564/
Next,2/3/2021,1,Action,Lee Tamahori,https://www.imdb.com/title/tt0435705/
The Wedding Guest,2/3/2021,2,Thriller,Michael Winterbottom,https://www.imdb.com/title/tt7645780/
Greenland,2/5/2021,2,Action,Ric Roman Waugh,https://www.imdb.com/title/tt7737786/
Left Behind,2/5/2021,1,Action,Vic Armstrong,https://www.imdb.com/title/tt2467046/
Gli infedeli,2/6/2021,3,Comedy,Stefano Mordini,https://www.imdb.com/title/tt10168672/
Fences,2/7/2021,4,Drama,Denzel Washington,https://www.imdb.com/title/tt2671706/
News of the World,2/10/2021,3,Action,Paul Greengrass,https://www.imdb.com/title/tt6878306/
Late Night,2/12/2021,2,Comedy,Nisha Ganatra,https://www.imdb.com/title/tt6107548/
Steve Jobs,2/12/2021,3,Biography,Danny Boyle,https://www.imdb.com/title/tt2080374/
Gram Parsons: Fallen Angel,2/14/2021,4,Documentary,Gandulf Hennig,https://www.imdb.com/title/tt0414971/
The Fundamentals of Caring,2/15/2021,3,Comedy,Rob Burnett,https://www.imdb.com/title/tt2452386/
Telstar: The Joe Meek Story,2/16/2021,2,Biography,Nick Moran,https://www.imdb.com/title/tt1068669/
Snatch,2/17/2021,4,Comedy,Guy Ritchie,https://www.imdb.com/title/tt0208092/
Now You See Me,2/18/2021,3,Action,Louis Leterrier,https://www.imdb.com/title/tt1670345/
Now You See Me 2,2/19/2021,2,Action,"Jon M. Chu",https://www.imdb.com/title/tt3110958/
Inside Man,2/19/2021,3,Crime,Spike Lee,https://www.imdb.com/title/tt0454848/
Escape from Pretoria,2/26/2021,3,Thriller,Francis Annan,https://www.imdb.com/title/tt5797184/
I Care a Lot,2/27/2021,3,Crime,J Blakeson,https://www.imdb.com/title/tt9893250/
Capone,3/1/2021,2,Biography,Josh Trank,https://www.imdb.com/title/tt6199572/
A Rainy Day in New York,3/2/2021,3,Comedy,Woody Allen,https://www.imdb.com/title/tt7139936
'Mr. Nice',3/3/2021,3,Biography,Bernard Rose,https://www.imdb.com/title/tt1183911/
Deadpool,3/3/2021,4,Action,Tim Miller,https://www.imdb.com/title/tt1431045/
'Made You Look: A True Story About Fake Art',3/4/2021,3,Documentary,Barry Avrich,https://www.imdb.com/title/tt11994750/
